#multi:
 cart  mass A  
t x y x y 
1.217586E0 -1.066371E-1 -3.997337E-2 -9.288975E-2 -4.249546E-1
1.234266E0 -1.066436E-1 -3.998013E-2 -8.570680E-2 -4.263495E-1
1.250945E0 -1.066533E-1 -3.997933E-2 -7.800895E-2 -4.270670E-1
1.267624E0 -1.066605E-1 -3.998197E-2 -7.039431E-2 -4.278907E-1
1.284303E0 -1.066682E-1 -3.997641E-2 -6.305219E-2 -4.285450E-1
1.300983E0 -1.066723E-1 -3.997078E-2 -5.562363E-2 -4.293929E-1
1.317662E0 -1.066774E-1 -4.000505E-2 -4.829964E-2 -4.300671E-1
1.334341E0 -1.066791E-1 -3.999424E-2 -4.151566E-2 -4.304494E-1
1.351020E0 -1.066806E-1 -3.999633E-2 -3.479366E-2 -4.303174E-1
1.367700E0 -1.066799E-1 -3.998561E-2 -2.801676E-2 -4.304075E-1
1.384379E0 -1.066836E-1 -3.997929E-2 -2.142438E-2 -4.301926E-1
1.401058E0 -1.067155E-1 -3.998239E-2 -1.668358E-2 -4.293417E-1
1.417737E0 -1.067099E-1 -4.001709E-2 -1.175202E-2 -4.285550E-1
1.434417E0 -1.067224E-1 -4.000955E-2 4.562058E-3 -4.318412E-1
1.451096E0 -1.067229E-1 -4.002320E-2 8.250092E-3 -4.302422E-1
1.467775E0 -1.066767E-1 -4.007592E-2 4.984957E-3 -4.270652E-1
1.484455E0 -1.066721E-1 -4.004888E-2 7.675095E-3 -4.256480E-1
1.501134E0 -1.066760E-1 -4.002993E-2 9.738013E-3 -4.244521E-1
1.517813E0 -1.066778E-1 -4.001477E-2 1.469286E-2 -4.238762E-1
1.534492E0 -1.066928E-1 -4.011022E-2 1.232421E-2 -4.219096E-1
1.551172E0 -1.066911E-1 -4.007395E-2 1.280238E-2 -4.209174E-1
1.567851E0 -1.066883E-1 -4.004806E-2 1.276615E-2 -4.200535E-1
1.584530E0 -1.066986E-1 -4.003265E-2 1.144445E-2 -4.192483E-1
1.601209E0 -1.067085E-1 -4.002694E-2 9.213980E-3 -4.184632E-1
1.617889E0 -1.067048E-1 -4.001459E-2 6.419033E-3 -4.175387E-1
1.634568E0 -1.066998E-1 -4.004383E-2 3.012926E-3 -4.169836E-1
1.651247E0 -1.067143E-1 -4.003229E-2 -1.128974E-3 -4.162123E-1
1.667926E0 -1.067126E-1 -4.002328E-2 -5.236887E-3 -4.155973E-1
1.684606E0 -1.068001E-1 -4.006480E-2 -1.006436E-2 -4.150847E-1
1.701285E0 -1.067924E-1 -4.010883E-2 -1.504781E-2 -4.147244E-1
1.717964E0 -1.067822E-1 -4.008041E-2 -2.031242E-2 -4.143183E-1
1.734643E0 -1.067900E-1 -4.007622E-2 -2.559280E-2 -4.140211E-1
1.751323E0 -1.067766E-1 -4.008735E-2 -3.165746E-2 -4.135003E-1
1.768002E0 -1.067704E-1 -4.006302E-2 -3.743442E-2 -4.131994E-1
1.784681E0 -1.067595E-1 -4.004531E-2 -4.292151E-2 -4.126882E-1
1.801361E0 -1.067482E-1 -4.002860E-2 -4.728989E-2 -4.120058E-1
1.818040E0 -1.067440E-1 -4.004971E-2 -5.620006E-2 -4.113497E-1
1.834719E0 -1.067315E-1 -4.002906E-2 -5.964304E-2 -4.116790E-1
1.851398E0 -1.067616E-1 -4.013903E-2 -6.479538E-2 -4.114569E-1
1.868078E0 -1.067515E-1 -4.009642E-2 -6.975580E-2 -4.114145E-1
1.884757E0 -1.067460E-1 -4.006245E-2 -7.413306E-2 -4.109808E-1
1.901436E0 -1.067491E-1 -4.003826E-2 -7.879435E-2 -4.109889E-1
1.918115E0 -1.067061E-1 -4.003130E-2 -8.312817E-2 -4.108256E-1
1.934795E0 -1.066998E-1 -4.003477E-2 -8.705566E-2 -4.110407E-1
1.951474E0 -1.066635E-1 -4.001219E-2 -9.083969E-2 -4.110169E-1
1.968153E0 -1.065975E-1 -4.008526E-2 -9.461097E-2 -4.116710E-1
1.984832E0 -1.066289E-1 -4.005850E-2 -9.832667E-2 -4.122431E-1
2.001512E0 -1.065971E-1 -4.002968E-2 -1.014430E-1 -4.131729E-1
2.018191E0 -1.065155E-1 -4.001658E-2 -1.041487E-1 -4.139980E-1
2.034870E0 -1.064766E-1 -4.007671E-2 -1.063938E-1 -4.149837E-1
2.051550E0 -1.065363E-1 -4.004871E-2 -1.081343E-1 -4.158723E-1
2.068229E0 -1.065609E-1 -4.004219E-2 -1.062371E-1 -4.159856E-1
2.084908E0 -1.065851E-1 -4.018487E-2 -1.077340E-1 -4.175149E-1
2.101587E0 -1.066096E-1 -4.016557E-2 -1.092900E-1 -4.192525E-1
2.118267E0 -1.066271E-1 -4.014029E-2 -1.094559E-1 -4.204989E-1
2.134946E0 -1.066388E-1 -4.009440E-2 -1.095486E-1 -4.219410E-1
2.151625E0 -1.066484E-1 -4.008317E-2 -1.072625E-1 -4.238667E-1
2.168304E0 -1.066569E-1 -4.005909E-2 -1.073456E-1 -4.242766E-1
2.184984E0 -1.066639E-1 -4.004688E-2 -1.060707E-1 -4.249482E-1
2.201663E0 -1.066677E-1 -4.004012E-2 -9.585089E-2 -4.310168E-1
2.218342E0 -1.066674E-1 -4.003807E-2 -9.132346E-2 -4.332485E-1
2.235021E0 -1.066691E-1 -4.002467E-2 -8.744248E-2 -4.355483E-1
2.251701E0 -1.066885E-1 -4.008345E-2 -8.293623E-2 -4.373381E-1
2.268380E0 -1.066901E-1 -4.008828E-2 -7.878265E-2 -4.390525E-1
2.285059E0 -1.066873E-1 -4.007375E-2 -7.481697E-2 -4.405485E-1
2.301738E0 -1.066875E-1 -4.013271E-2 -7.042042E-2 -4.416285E-1
2.318418E0 -1.066897E-1 -4.010373E-2 -6.584274E-2 -4.422751E-1
2.335097E0 -1.066890E-1 -4.008445E-2 -6.150782E-2 -4.431866E-1
2.351776E0 -1.066826E-1 -4.012810E-2 -5.642098E-2 -4.435668E-1
2.368456E0 -1.066810E-1 -4.011730E-2 -5.134586E-2 -4.437848E-1
2.385135E0 -1.066859E-1 -4.018261E-2 -4.599228E-2 -4.436647E-1
2.401814E0 -1.066772E-1 -4.014655E-2 -4.117608E-2 -4.431927E-1
2.418493E0 -1.066579E-1 -4.012715E-2 -3.594002E-2 -4.425217E-1
2.435173E0 -1.066589E-1 -4.013047E-2 -3.085274E-2 -4.417036E-1
2.451852E0 -1.066648E-1 -4.020343E-2 -2.623664E-2 -4.405417E-1
2.468531E0 -1.066663E-1 -4.015339E-2 -2.230425E-2 -4.393024E-1
2.485210E0 -1.066608E-1 -4.014912E-2 -1.879589E-2 -4.378072E-1
2.501890E0 -1.066699E-1 -4.013729E-2 -1.578963E-2 -4.362853E-1
2.518569E0 -1.066699E-1 -4.009992E-2 -1.368098E-2 -4.346664E-1
2.535248E0 -1.066898E-1 -4.014500E-2 -1.196871E-2 -4.331806E-1
2.551927E0 -1.066838E-1 -4.009978E-2 -1.077840E-2 -4.317107E-1
2.568607E0 -1.066822E-1 -4.008700E-2 -1.023141E-2 -4.304505E-1
2.585286E0 -1.066817E-1 -4.006569E-2 -9.707010E-3 -4.289249E-1
2.601965E0 -1.066885E-1 -4.008482E-2 -9.832683E-3 -4.275193E-1
2.618644E0 -1.066883E-1 -4.009327E-2 -1.030756E-2 -4.261121E-1
2.635324E0 -1.066860E-1 -4.008671E-2 -1.122895E-2 -4.248919E-1
2.652003E0 -1.066940E-1 -4.010511E-2 -1.283633E-2 -4.236795E-1
2.668682E0 -1.066936E-1 -4.015312E-2 -1.459177E-2 -4.226356E-1
2.685362E0 -1.066932E-1 -4.016391E-2 -1.682387E-2 -4.215682E-1
2.702041E0 -1.066931E-1 -4.025402E-2 -1.963228E-2 -4.206353E-1
2.718720E0 -1.066910E-1 -4.020499E-2 -2.263742E-2 -4.200677E-1
2.735399E0 -1.066898E-1 -4.023691E-2 -2.603179E-2 -4.196163E-1
2.752079E0 -1.066851E-1 -4.024025E-2 -2.979523E-2 -4.186577E-1
2.768758E0 -1.066905E-1 -4.022708E-2 -3.327038E-2 -4.183868E-1
2.785437E0 -1.066955E-1 -4.018245E-2 -3.608893E-2 -4.179270E-1
2.802116E0 -1.066912E-1 -4.014385E-2 -3.948628E-2 -4.155281E-1
